;function;xstart;dim;sigma;estart;eps;val
0;elli;gauss;5;0.05;dull;0.5;168.95
1;elli;gauss;5;0.05;dull;0.25;178.65
2;elli;gauss;5;0.05;dull;0.1;190.25
3;elli;gauss;5;0.05;dull;0.01;215.2
4;elli;gauss;5;0.05;dull;0.001;216.2
5;elli;gauss;5;0.05;dull;0.0001;234.05
6;elli;gauss;5;0.05;gauss;0.5;168.95
7;elli;gauss;5;0.05;gauss;0.25;178.65
8;elli;gauss;5;0.05;gauss;0.1;190.25
9;elli;gauss;5;0.05;gauss;0.01;215.2
10;elli;gauss;5;0.05;gauss;0.001;216.2
11;elli;gauss;5;0.05;gauss;0.0001;234.05
12;elli;gauss;5;0.05;uniform;0.5;168.95
13;elli;gauss;5;0.05;uniform;0.25;178.65
14;elli;gauss;5;0.05;uniform;0.1;190.25
15;elli;gauss;5;0.05;uniform;0.01;215.2
16;elli;gauss;5;0.05;uniform;0.001;216.2
17;elli;gauss;5;0.05;uniform;0.0001;234.05
18;elli;gauss;5;0.05;exp;0.5;168.95
19;elli;gauss;5;0.05;exp;0.25;178.65
20;elli;gauss;5;0.05;exp;0.1;190.25
21;elli;gauss;5;0.05;exp;0.01;215.2
22;elli;gauss;5;0.05;exp;0.001;216.2
23;elli;gauss;5;0.05;exp;0.0001;234.05
24;elli;gauss;5;0.1;dull;0.5;156.1
25;elli;gauss;5;0.1;dull;0.25;178.35
26;elli;gauss;5;0.1;dull;0.1;190.65
27;elli;gauss;5;0.1;dull;0.01;209.4
28;elli;gauss;5;0.1;dull;0.001;226.75
29;elli;gauss;5;0.1;dull;0.0001;231.75
30;elli;gauss;5;0.1;gauss;0.5;156.1
31;elli;gauss;5;0.1;gauss;0.25;178.35
32;elli;gauss;5;0.1;gauss;0.1;190.65
33;elli;gauss;5;0.1;gauss;0.01;209.4
34;elli;gauss;5;0.1;gauss;0.001;226.75
35;elli;gauss;5;0.1;gauss;0.0001;231.75
36;elli;gauss;5;0.1;uniform;0.5;156.1
37;elli;gauss;5;0.1;uniform;0.25;178.35
38;elli;gauss;5;0.1;uniform;0.1;190.65
39;elli;gauss;5;0.1;uniform;0.01;209.4
40;elli;gauss;5;0.1;uniform;0.001;226.75
41;elli;gauss;5;0.1;uniform;0.0001;231.75
42;elli;gauss;5;0.1;exp;0.5;156.1
43;elli;gauss;5;0.1;exp;0.25;178.35
44;elli;gauss;5;0.1;exp;0.1;190.65
45;elli;gauss;5;0.1;exp;0.01;209.4
46;elli;gauss;5;0.1;exp;0.001;226.75
47;elli;gauss;5;0.1;exp;0.0001;231.75
48;elli;gauss;5;0.3;dull;0.5;160.8
49;elli;gauss;5;0.3;dull;0.25;178.1
50;elli;gauss;5;0.3;dull;0.1;190.5
51;elli;gauss;5;0.3;dull;0.01;198.5
52;elli;gauss;5;0.3;dull;0.001;199.9
53;elli;gauss;5;0.3;dull;0.0001;220.9
54;elli;gauss;5;0.3;gauss;0.5;160.8
55;elli;gauss;5;0.3;gauss;0.25;178.1
56;elli;gauss;5;0.3;gauss;0.1;190.5
57;elli;gauss;5;0.3;gauss;0.01;198.5
58;elli;gauss;5;0.3;gauss;0.001;199.9
59;elli;gauss;5;0.3;gauss;0.0001;220.9
60;elli;gauss;5;0.3;uniform;0.5;160.8
61;elli;gauss;5;0.3;uniform;0.25;178.1
62;elli;gauss;5;0.3;uniform;0.1;190.5
63;elli;gauss;5;0.3;uniform;0.01;198.5
64;elli;gauss;5;0.3;uniform;0.001;199.9
65;elli;gauss;5;0.3;uniform;0.0001;220.9
66;elli;gauss;5;0.3;exp;0.5;160.8
67;elli;gauss;5;0.3;exp;0.25;178.1
68;elli;gauss;5;0.3;exp;0.1;190.5
69;elli;gauss;5;0.3;exp;0.01;198.5
70;elli;gauss;5;0.3;exp;0.001;199.9
71;elli;gauss;5;0.3;exp;0.0001;220.9
72;elli;gauss;5;0.9;dull;0.5;161.7
73;elli;gauss;5;0.9;dull;0.25;175.1
74;elli;gauss;5;0.9;dull;0.1;189.95
75;elli;gauss;5;0.9;dull;0.01;190.95
76;elli;gauss;5;0.9;dull;0.001;213.9
77;elli;gauss;5;0.9;dull;0.0001;226.3
78;elli;gauss;5;0.9;gauss;0.5;161.7
79;elli;gauss;5;0.9;gauss;0.25;175.1
80;elli;gauss;5;0.9;gauss;0.1;189.95
81;elli;gauss;5;0.9;gauss;0.01;190.95
82;elli;gauss;5;0.9;gauss;0.001;213.9
83;elli;gauss;5;0.9;gauss;0.0001;226.3
84;elli;gauss;5;0.9;uniform;0.5;161.7
85;elli;gauss;5;0.9;uniform;0.25;175.1
86;elli;gauss;5;0.9;uniform;0.1;189.95
87;elli;gauss;5;0.9;uniform;0.01;190.95
88;elli;gauss;5;0.9;uniform;0.001;213.9
89;elli;gauss;5;0.9;uniform;0.0001;226.3
90;elli;gauss;5;0.9;exp;0.5;161.7
91;elli;gauss;5;0.9;exp;0.25;175.1
92;elli;gauss;5;0.9;exp;0.1;189.95
93;elli;gauss;5;0.9;exp;0.01;190.95
94;elli;gauss;5;0.9;exp;0.001;213.9
95;elli;gauss;5;0.9;exp;0.0001;226.3
96;elli;gauss;10;0.05;dull;0.5;399.3
97;elli;gauss;10;0.05;dull;0.25;436.9
98;elli;gauss;10;0.05;dull;0.1;455.15
99;elli;gauss;10;0.05;dull;0.01;491.95
100;elli;gauss;10;0.05;dull;0.001;519.4
101;elli;gauss;10;0.05;dull;0.0001;536.75
102;elli;gauss;10;0.05;gauss;0.5;399.3
103;elli;gauss;10;0.05;gauss;0.25;436.9
104;elli;gauss;10;0.05;gauss;0.1;455.15
105;elli;gauss;10;0.05;gauss;0.01;491.95
106;elli;gauss;10;0.05;gauss;0.001;519.4
107;elli;gauss;10;0.05;gauss;0.0001;536.75
108;elli;gauss;10;0.05;uniform;0.5;399.3
109;elli;gauss;10;0.05;uniform;0.25;436.9
110;elli;gauss;10;0.05;uniform;0.1;455.15
111;elli;gauss;10;0.05;uniform;0.01;491.95
112;elli;gauss;10;0.05;uniform;0.001;519.4
